Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Rhode Island,New York,Florida,New Hampshire,Georgia,North Carolina,New Jersey,Tennessee,Maryland,Colorado,Nevada,Oklahoma,Pennsylvania,South Carolina,Hawaii,Indiana,Kentucky,Minnesota,Vermont,Virginia,DC,Kansas,Missouri,Connecticut,Iowa,Ohio,Louisiana,South Dakota,Michigan,New Mexico,North Dakota,Wyoming,Mississippi,Arkansas,Delaware,Alaska,Maine,Puerto Rico,Montana,Alabama,Idaho,Virgin Islands,Guam,West Virginia,Northern Mariana Islands,American Samoa
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7,1,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,1,1,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,9,1,1,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,11,1,1,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,11,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,26,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,26,1,1,1,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,27,1,1,1,11,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,28,1,1,1,11,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,33,1,1,1,11,13,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4,38,1,2,1,11,13,1,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,45,2,2,1,11,13,1,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4,55,2,2,1,12,13,1,2,2,11,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5,67,2,3,1,16,13,1,2,2,22,4,2,2,1,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6,81,3,8,1,19,14,3,2,3,44,7,2,3,2,4,1,3,8,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,100,5,13,1,19,14,3,6,3,89,12,4,7,2,4,1,3,8,2,1,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,7,112,5,28,1,23,16,3,13,3,106,13,4,11,2,6,3,5,8,4,1,6,6,2,2,4,2,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,11,172,6,41,2,24,16,3,13,3,142,14,4,17,7,11,4,6,12,4,1,10,7,2,4,5,2,1,5,4,1,1,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,19,179,6,92,3,31,17,4,14,5,173,23,5,22,7,15,7,9,17,4,2,12,9,2,6,7,3,1,8,4,1,1,2,13,3,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,25,202,9,95,6,33,23,5,20,5,217,26,5,31,8,23,8,13,34,7,2,16,10,2,11,7,5,2,10,10,1,1,3,14,4,13,8,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
419,32,252,9,108,8,41,24,7,30,5,326,46,6,31,16,29,18,13,49,11,2,22,12,2,12,11,9,2,17,10,5,2,6,16,5,14,8,12,6,1,1,1,6,4,1,1,0,0,0,0,0,0,0,0,0
511,46,320,9,123,19,58,27,7,30,20,421,70,7,41,18,50,26,18,78,19,3,41,13,2,12,11,14,2,30,10,6,4,11,17,13,36,9,25,10,1,2,6,7,4,1,2,3,4,6,1,0,0,0,0,0
609,66,381,12,138,27,69,29,21,36,20,610,70,7,65,25,75,32,27,103,21,4,47,19,4,15,18,21,5,42,16,8,5,20,18,26,77,9,33,13,1,3,6,9,4,1,3,4,6,12,5,1,0,0,0,0
675,94,478,13,164,33,80,31,29,39,20,732,109,13,97,32,98,39,32,136,26,8,68,28,7,19,21,35,8,45,17,9,5,26,22,37,103,9,53,17,1,3,10,16,7,1,12,5,6,23,5,1,3,0,0,0
794,104,588,18,197,47,87,33,40,46,21,950,141,17,118,34,176,52,39,161,45,10,81,33,10,24,22,54,12,51,22,11,9,41,22,50,137,10,54,21,1,10,12,22,8,3,17,5,8,29,5,2,3,0,0,0
908,159,732,20,218,72,106,36,51,66,23,1374,210,26,142,42,268,73,57,183,55,18,101,47,14,30,26,60,14,67,31,17,16,68,29,67,196,11,65,23,5,15,21,22,16,6,32,5,8,39,9,2,3,1,0,0
1026,286,893,28,256,106,166,43,65,74,33,2382,326,39,193,66,427,98,85,216,82,29,139,60,16,39,35,77,19,78,36,22,21,96,38,90,280,11,80,28,7,17,34,33,26,9,43,5,12,51,11,3,8,2,0,0
1228,420,1067,47,328,155,248,47,80,87,44,4152,434,44,282,104,735,155,108,278,99,44,187,81,26,56,47,89,22,94,39,35,35,159,44,120,392,14,334,35,19,18,50,62,30,12,52,6,19,78,23,3,12,5,0,0
1404,583,1283,70,413,216,377,53,112,114,44,7102,564,55,482,144,896,237,150,364,165,49,269,126,37,79,63,115,29,115,71,49,73,194,45,169,537,14,548,43,27,22,80,100,39,14,57,14,19,106,31,6,14,8,0,0
1655,751,1544,104,525,281,547,61,138,137,66,10356,764,65,552,184,1336,312,195,475,165,53,388,172,48,126,84,138,49,152,77,57,93,223,68,247,763,14,787,57,28,24,140,118,45,21,70,21,29,131,42,6,15,12,0,0
